,breed,rank,imgs,urls,intro,Affectionate with Family,Amount of Shedding,General Health,Potential for Playfulness,Kid-Friendly,Easy to Groom,Intelligence,Pet Friendly
24,Chinese Li Hua,50,https://cattime.com/assets/uploads/2011/12/file_2758_chinese-li-460x290-460x290.jpg,https://cattime.com/cat-breeds/chinese-li-cats,"Smart, loyal and lively, the Chinese Li Hua is gentle with people but has a reputation as a talented hunter of rats and other vermin.See all Chinese Li Hua characteristics below!  Chinese Li Hau Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",3,3,3,4,4,4,4,4
25,Colorpoint Shorthair,32,https://cattime.com/assets/uploads/2011/12/file_2732_colorpoint-shorthair-460x290-460x290.jpg,https://cattime.com/cat-breeds/colorpoint-shorthair-cats,"The Colorpoint is a loyal and loving feline who will pout and pine if given little or no attention.See all Colorpoint Shorthair characteristics below! Colorpoint Shorthair Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,2,2,5,1,4,4,4
26,Cornish Rex,15,https://cattime.com/assets/uploads/2011/12/file_2696_cornish-rex-460x290-460x290.jpg,https://cattime.com/cat-breeds/cornish-rex-cats,"If it weren’t insulting, it might be fair to describe the Cornish Rex as “doglike,” as he’s a willing retriever to thrown toys.See all Cornish Rex Cat characteristics below! Cornish Rex Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,2,3,5,2,5,5,5
27,Cymric,50,https://cattime.com/assets/uploads/2011/12/file_2690_cymrc-460x290-460x290.jpg,https://cattime.com/cat-breeds/cymric-cats,"With a Cymric around the house, you’ve got a “watchcat” who reacts rapidly and will growl threateningly or maybe even go on the attack at the sight or sound of anything out of the ordinary.See all Cymric characteristics below! Cymric Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,4,3,2,3,4,2,4
28,Cyprus,50,https://cattime.com/assets/uploads/2020/03/cyprus-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/cyprus,"The Cyprus cat is a natural cat breed cat, which means they developed without the need for human intervention. These felines are known for being playful, active, and social.You can find Cyprus cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these felines to your home!The Cyprus cat has a deserved reputation as being a very active and playful feline. This is a breed that definitely needs to live in a place with space to explore and satisfy their innate curiosity and exercise needs. They also enjoy being around people, so this breed might not be the best fit for someone who’s away from the home for long periods of the day.See all Cyprus cat breed characteristics below!Cyprus Cat Breed Pictures Cyprus Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,2,4,5,3,4,3,4
29,Desert Lynx,50,https://cattime.com/assets/uploads/2020/03/desert-lynx-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/desert-lynx,"The Desert Lynx is a mixed breed cat–a cross between a number of other breeds including the American Lynx, Maine Coon, and Pixie Bob, and possibly even the bobcat. These felines are known for being outgoing, playful, and social.You may find these cats in shelters and breed specific rescues, so if possible, remember to adopt! Don’t shop if you’re looking to add one of these cats to your home!Despite their name bringing visions of a wildcat to mind, the Desert Lynx mixed breed is often said to act more like a domesticated dog. This is a feline who’s loyal and likes to be around people, and they’ll likely follow you around the house from room to room. They make for great family pets; although, they do fare better around people rather than being left alone all day.CatTime recommends you pick up this comfy cat carrier for traveling with your medium sized Desert Lynx. You should also pick up this interactive cat teaser toy to help you bond with your affectionate kitty.See all Desert Lynx mixed cat breed characteristics below!Desert Lynx Mixed Cat Breed Picture (Picture Credit: posted with permission from Kelli Graziano @catfostermom on Instagram)More articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,1,4,4,3,4,3,4
30,Devon Rex,7,https://cattime.com/assets/uploads/2011/12/file_2702_devon-rex-cat-breed-profile.jpg,https://cattime.com/cat-breeds/devon-rex-cats,"The Devon Rex loves people and welcomes the attentions of friends and family alike.See all Devon Rex Cat characteristics below! Devon Rex Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,1,1,4,3,5,5,5
31,Donskoy,50,https://cattime.com/assets/uploads/2020/01/donskoy-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/donskoy,"The Donskoy cat was developed in Russia during the 1980s as a totally new breed. These felines are known for being friendly, playful, and affectionate.The Donskoy is also sometimes known as the Don Sphynx. You may find these purebred cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these kitties to your home!Cats of this breed may get a lot of curious looks from strangers, as these felines are hairless. Some of the breed’s kittens are born totally hairless, while others lose their hair over time. With their distinctive look, the breed has gained a reputation for being an eye-catching family pet. But remember that you’ll need to exercise a little extra care and maintenance due to the breed’s hairless nature.See all Donskoy cat breed characteristics below!Donskoy Cat Breed Pictures Donskoy Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,1,3,4,3,4,4,2
32,Egyptian Mau,28,https://cattime.com/assets/uploads/2011/12/file_2710_Egyptian-Mau-cat-breed.jpg,https://cattime.com/cat-breeds/egyptian-mau-cats,"The Mau’s most striking characteristic is his spotted coat in silver, bronze or smoke (pale silver fur tipped in black), closely followed by his large gooseberry-green eyes.\See all Egyptian Mau Cat characteristics below! Egyptian Mau Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,3,4,4,2,4,2,4
33,European Burmese,36,https://cattime.com/assets/uploads/2011/12/file_2692_european-burmese-460x290-460x290.jpg,https://cattime.com/cat-breeds/european-burmese,"The European Burmese has the charm and determination of his Siamese ancestors, and his voice is soft and sweet, belying his tendency to run the household with an iron paw sheathed in velvety fur.See all European Burmese characteristics below!  European Burmese Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,2,1,5,1,5,5,5
34,European Shorthair,50,https://cattime.com/assets/uploads/2019/12/european-shorthair-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/european-shorthair,"The European Shorthair is a natural cat breed, which means they developed without the need for human intervention. These felines are known for being friendly, playful, and intelligent.You can find European Shorthairs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these cats to your home!The European Shorthair has roots going back to the Roman empire. These days, many people consider them to be the most popular cat breed in Europe! While these social kitties make for great house pets, each cat is very much an individual. So take that into consideration when learning about the breed’s nature and personality.See all European Shorthair cat breed characteristics below!European Shorthair Cat Breed Pictures European Shorthair Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,2,4,4,3,5,4,5
35,Exotic,2,https://cattime.com/assets/uploads/2011/12/file_2672_exotic-460x290-460x290.jpg,https://cattime.com/cat-breeds/exotic-cats,"The Exotic is sweet, docile and quiet, but don’t get the idea that she is merely an adornment for the home. She loves to play when she’s not sitting in a lap or being petted.See all about Exotic Cat below! Exotic Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",4,3,2,4,5,3,2,3
36,Foldex,50,https://cattime.com/assets/uploads/2020/01/foldex-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/foldex,"The Foldex is a mixed breed cat–a cross between the Scottish Fold and Exotic Shorthair breeds. These felines are known for being friendly, loving, and intelligent.You may find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these kitties to your home!Foldexes hail from Canada, where breeders sought to develop a cat that would resemble a cute teddy bear. These loving cats, with their adorable looks, like nothing more than hanging out with the humans in their life and receiving endless petting sessions. They also make a perfect fit for families with kids.See all Foldex mixed cat breed characteristics below!Foldex Mixed Cat Breed Pictures Foldex Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",5,3,4,4,3,5,4,3
37,German Rex,50,https://cattime.com/assets/uploads/2020/01/german-rex-cat-breed-pictures-1.jpg,https://cattime.com/cat-breeds/german-rex,"The German Rex is a natural cat breed cat, which means they developed without the need for human intervention. These felines are known for being affectionate, loyal, and playful.You may find these cats in shelters and rescues, so remember to adopt! Don’t shop if you’re looking to add one of these kitties to your home!Cats of the German Rex breed make excellent companions. They’re tolerant of humans and other animals alike, and their strong social side means that they’ll instantly fit in with your family. They’re also smart kitties, so ensure that you’ll be able to provide enough time and interaction to keep the cat satisfied and happy.CatTime recommends this interactive cat toy and scratcher to keep your smart German Rex busy. You should also pick up this comfy, medium cat carrier for traveling with your furry friend!See all German Rex cat breed characteristics below!German Rex Cat Breed Pictures (Picture Credit: This is Xander from Dexter’s Kitties in Orlando, FL. He found his forever home! Go to dexterskitties.org, call (321) 231-0804, or email [email protected] to meet more adoptable cats!)More articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,2,3,4,2,4,4,2
38,Havana Brown,42,https://cattime.com/assets/uploads/2011/12/file_2750_havana-brown-460x290-460x290.jpg,https://cattime.com/cat-breeds/havana-brown-cats,"The Havana is distinguished by his uncommon head shape; it’s longer than it is wide.See all Havana Brown characteristics below!  Havana Brown Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,3,4,3,4,3,5,4
39,Highlander,50,https://cattime.com/assets/uploads/2020/01/highlander-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/highlander,"The Highlander is a mixed breed cat–a cross between the Desert Lynx and Jungle Curl breeds. Gentle, social, and intelligent, these felines inherited some of the best traits from their parents.You may find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these kitties to your home!The Highlander cat breed dates back to 1993, when they were originally introduced as the Highland Lynx before a name change the following year. These felines are super smart, so you’ll need to provide a living environment for them that will keep them mentally satisfied. This breed mix makes for very people-friendly cats and great family pets.See all Highlander mixed cat breed characteristics below!Highlander Mixed Cat Breed Pictures Highlander Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,2,4,4,3,4,4,3
40,Himalayan,50,https://cattime.com/assets/uploads/2011/12/file_2674_himalayan-460x290-460x290.jpg,https://cattime.com/cat-breeds/himalayan-cats,"The Himalayan, or Himmie for short, is a Persian in Siamese drag, affectionate but discriminating.See all Himalayan characteristics below! Himalayan Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",4,5,2,1,2,2,1,2
